node,X,Z,classe
1091,-20.638605585,-14.96325901,9
1092,-20.247068273,-15.124919821,0
1093,-19.968677828,-15.466341226,9
1094,-17.624814523,-17.647464591,9
1095,-17.948003775,-17.99976935,8
1096,-18.38257994,-18.131284278,9
1097,-18.849171442,-17.998364071,0
1098,-19.164306381,-17.653830141,0
1099,-19.281701728,-17.18631636,9
1100,-19.171056393,-16.716881812,0
1101,-18.845320635,-16.356994574,8
1102,-18.390778105,-16.226405652,9
1103,-17.955170522,-16.353562937,0
1104,-17.629985012,-16.700681975,9
1105,-19.968367791,-20.160842917,8
1106,-20.245661359,-20.501812348,8
1107,-20.63635814,-20.664167917,0
1108,-21.050714484,-20.610511598,0
1109,-21.397868197,-20.348368105,0
1110,-21.589797617,-19.94506075,9
1111,-21.589234877,-19.490240168,0
1112,-21.3962484,-19.087485091,8
1113,-21.053998408,-18.82865249,8
1114,-20.639602732,-18.773128177,0
1115,-20.248486608,-18.933857318,0
1116,-19.968352559,-19.277014708,9
1117,-17.625593524,-21.458936781,0
1118,-17.965424338,-21.820479386,8
1119,-18.404302893,-21.941414379,20
1120,-18.869003926,-21.795302191,8
1121,-19.176317546,-21.440528018,0
1122,-19.281512763,-20.967831467,9
1123,-19.157062887,-20.500627106,8
1124,-18.834791825,-20.160445757,8
1125,-18.378241623,-20.036616403,20
1126,-17.942894561,-20.17128523,8
1127,-17.625660636,-20.518742876,0
1128,-19.968655824,-23.971439329,8
1129,-20.246677141,-24.312576554,8
1130,-20.638226877,-24.474418111,20
1131,-21.053072376,-24.419538864,8
1132,-21.396699744,-24.159819114,26
1133,-21.589532406,-23.756247321,0
1134,-21.589344803,-23.300728079,0
1135,-21.396161398,-22.897377483,8
1136,-21.053307391,-22.638365534,8
1137,-20.63822583,-22.583309171,0
1138,-20.246809126,-22.745114435,0
1139,-19.968645797,-23.086407489,0
1140,-17.626646275,-25.270916696,8
1141,-17.946548235,-25.618848962,8
1142,-18.38467522,-25.751321741,20
1143,-18.854183046,-25.615136061,8
1144,-19.168950118,-25.265002106,0
1145,-19.281705989,-24.792107285,9
1146,-19.162696965,-24.320966794,8
1147,-18.842531441,-23.9752394,20
1148,-18.384622344,-23.846485342,20
1149,-17.946550053,-23.978956089,8
1150,-17.626709003,-24.326771879,0
1151,-19.967761003,-27.779583118,8
1152,-20.24354965,-28.120216267,8
1153,-20.632577657,-28.283648148,20
1154,-21.045986649,-28.232436412,8
1155,-21.402001947,-27.963186425,26
1156,-21.590984656,-27.559667007,0
1157,-21.58827687,-27.106033959,26
1158,-21.39442945,-26.705242121,8
1159,-21.046074262,-26.445405774,8
1160,-20.632413259,-26.394099909,20
1161,-20.243584945,-26.557548224,8
1162,-19.967772895,-26.898218169,0
1163,-17.626615006,-29.080858046,8
1164,-17.946267129,-29.428670748,20
1165,-18.391951752,-29.561410533,12
