node,X,Y,Z,classe
821,27.025109654,9.7777240267,-12.373610192,0
822,27.025109654,9.7777240267,-13.414539346,0
823,27.025109654,9.7777240267,-14.457428796,0
824,27.025109654,9.7777240267,-15.525161143,0
825,27.025109654,9.7777240267,-16.592893491,0
826,27.025109654,9.7777240267,-17.638385553,9
827,27.025109654,9.7777240267,-18.7061179,9
828,27.025109654,9.7777240267,-19.773850247,9
829,27.025109654,9.7777240267,-20.831429293,9
830,27.025109654,9.7777240267,-21.887074657,9
831,27.025109654,9.7777240267,-23.014071549,9
832,27.025109654,9.7777240267,-23.994324233,9
833,27.025109654,9.7777240267,-25.014075531,9
834,27.025109654,9.7777240267,-26.081135187,9
835,27.025109654,9.7777240267,-27.148867535,9
836,27.025109654,9.7777240267,-28.251794228,9
837,27.025109654,9.7777240267,-29.380427384,9
838,27.025109654,9.7777240267,-30.482569395,9
839,27.025109654,9.7777240267,-31.641338588,9
840,27.025109654,9.7777240267,-32.726003319,9
841,27.025109654,9.7777240267,-33.884012152,9
842,27.025109654,9.7777240267,-34.951744499,9
843,27.025109654,9.7777240267,-35.984921246,9
844,27.025109654,9.7777240267,-36.983917013,9
845,27.025109654,9.7777240267,-38.05164936,9
846,27.025109654,9.7777240267,-39.119381708,9
847,27.025109654,9.7777240267,-40.144958923,9
848,27.025109654,9.7777240267,-41.21269127,9
849,27.025109654,9.7777240267,-42.280423618,9
850,27.025109654,9.7777240267,-43.348155965,9
851,27.025109654,9.7777240267,-44.549908557,9
852,27.025109654,9.7777240267,-45.746353779,9
853,27.025109654,9.7777240267,-46.946555904,9
854,27.025109654,9.7777240267,-48.198500368,9
855,27.025109654,9.7777240267,-49.273664683,0
856,27.025109654,9.7777240267,-50.34139703,0
857,27.025109654,9.7777240267,-51.397325834,0
858,27.025109654,9.7777240267,-52.425215634,0
859,27.025109654,9.7777240267,-53.492947982,0
860,27.025109654,9.7777240267,-54.538123541,9
861,27.025109654,9.7777240267,-55.53675254,0
862,27.025109654,9.7777240267,-56.588157743,0
863,27.025109654,9.7777240267,-57.655890091,0
864,27.025109654,9.7777240267,-58.723622438,0
865,27.025109654,9.7777240267,-59.7691145,0
866,27.025109654,9.7777240267,-60.836846848,0
867,27.025109654,9.7777240267,-62.020646223,5
868,27.025109654,9.7777240267,-63.225840612,5
869,27.025109654,9.7777240267,-64.438042551,1
870,27.025109654,9.7777240267,-65.470801153,7
871,27.025109654,9.7777240267,-66.669721279,8
872,9.3132934575,1.5672935025,-9.7236685981,0
873,9.6119413193,1.6213738462,-9.3809574047,0
874,10.036952472,1.7026929605,-9.2154000663,0
875,10.49552565,1.7962315202,-9.2685531183,0
876,10.874949649,1.8782166066,-9.5306326613,0
877,11.085947195,1.9256244607,-9.9366411744,0
878,11.086448411,1.9257386138,-10.381270577,0
879,10.882472319,1.8798844415,-10.780717297,0
880,10.506410905,1.7985254384,-11.047273513,0
881,10.046360318,1.7045513425,-11.105774721,0
882,9.6158951848,1.6221067272,-10.941810419,0
883,9.3141828673,1.5674508398,-10.598052447,0
884,9.3145839075,1.5675217913,-13.531174322,0
885,9.6159181423,1.6221109839,-13.188173597,0
886,10.048941572,1.7050616749,-13.023919585,0
887,10.504179617,1.7980549458,-13.08185855,0
888,10.883334102,1.8800756114,-13.350287177,0
889,11.087881093,1.9260649514,-13.754816742,0
890,11.083832641,1.9251429461,-14.201949926,0
891,10.873279849,1.8778466234,-14.601259144,0
892,10.500654132,1.7973118505,-14.859499675,0
893,10.048414481,1.7049574497,-14.916018573,0
894,9.615043573,1.6219488368,-14.75121678,0
895,9.3145117545,1.5675090257,-14.40868669,0
896,9.312854372,1.5672158358,-17.344521425,0
897,9.6087019434,1.6207737303,-17.003247371,0
898,10.034687084,1.7022458451,-16.835697195,0
899,10.4928464,1.7956674306,-16.887549257,0
