node,X,Z,classe
1118,-17.965424338,-21.820479386,24
1119,-18.404302893,-21.941414379,18
1120,-18.869003926,-21.795302191,24
1121,-19.176317546,-21.440528018,0
1122,-19.281512763,-20.967831467,27
1123,-19.157062887,-20.500627106,24
1124,-18.834791825,-20.160445757,24
1125,-18.378241623,-20.036616403,18
1126,-17.942894561,-20.17128523,24
1127,-17.625660636,-20.518742876,0
1128,-19.968655824,-23.971439329,22
1129,-20.246677141,-24.312576554,22
1130,-20.638226877,-24.474418111,24
1131,-21.053072376,-24.419538864,24
1132,-21.396699744,-24.159819114,40
1133,-21.589532406,-23.756247321,0
1134,-21.589344803,-23.300728079,0
1135,-21.396161398,-22.897377483,22
1136,-21.053307391,-22.638365534,24
1137,-20.63822583,-22.583309171,18
1138,-20.246809126,-22.745114435,0
1139,-19.968645797,-23.086407489,0
1140,-17.626646275,-25.270916696,40
1141,-17.946548235,-25.618848962,24
1142,-18.38467522,-25.751321741,18
1143,-18.854183046,-25.615136061,24
1144,-19.168950118,-25.265002106,0
1145,-19.281705989,-24.792107285,27
1146,-19.162696965,-24.320966794,22
1147,-18.842531441,-23.9752394,24
1148,-18.384622344,-23.846485342,18
1149,-17.946550053,-23.978956089,24
1150,-17.626709003,-24.326771879,0
1151,-19.967761003,-27.779583118,22
1152,-20.24354965,-28.120216267,24
1153,-20.632577657,-28.283648148,18
1154,-21.045986649,-28.232436412,22
1155,-21.402001947,-27.963186425,40
1156,-21.590984656,-27.559667007,0
1157,-21.58827687,-27.106033959,40
1158,-21.39442945,-26.705242121,22
1159,-21.046074262,-26.445405774,24
1160,-20.632413259,-26.394099909,18
1161,-20.243584945,-26.557548224,40
1162,-19.967772895,-26.898218169,0
1163,-17.626615006,-29.080858046,22
1164,-17.946267129,-29.428670748,24
1165,-18.391951752,-29.561410533,26
1166,-18.854632036,-29.424844492,24
1167,-19.169116479,-29.074681736,0
1168,-19.281704524,-28.601888832,0
1169,-19.162682197,-28.130939298,22
1170,-18.842647363,-27.785312054,24
1171,-18.384076603,-27.656494622,18
1172,-17.946257206,-27.789141748,24
1173,-17.62661373,-28.13695055,40
1174,-19.984298011,-31.622394886,14
1175,-20.301557673,-31.970614145,24
1176,-20.735322015,-32.101353897,18
1177,-21.170207072,-31.979776577,22
1178,-21.50810634,-31.60592132,40
1179,-21.614469737,-31.130323249,40
1180,-21.491193574,-30.659528979,11
1181,-21.170396841,-30.318151818,24
1182,-20.735448549,-30.196410772,18
1183,-20.30176841,-30.32701811,22
1184,-19.984287166,-30.675452077,0
1185,-17.627192005,-32.891938744,14
1186,-17.94821622,-33.239903352,24
1187,-18.387521431,-33.37136411,26
1188,-18.846032086,-33.240361564,24
1189,-19.165187663,-32.892171518,0
1190,-19.281728352,-32.419272165,0
1191,-19.165522816,-31.946267493,22
1192,-18.846559256,-31.597778748,8
1193,-18.387468123,-31.466442796,8
1194,-17.948195144,-31.59791614,24
1195,-17.627128281,-31.94598665,40
1196,-19.968625827,-35.401377263,22
1197,-20.2466347,-35.742544671,24
1198,-20.638091639,-35.904400154,8
1199,-21.052866213,-35.849624256,22
1200,-21.395823906,-35.59090285,40
1201,-21.589187761,-35.187779542,0
1202,-21.589712508,-34.732368255,38
1203,-21.397185262,-34.328645929,22
1204,-21.054855698,-34.069009514,24
1205,-20.640057598,-34.013068916,18
1206,-20.246819373,-34.175106736,22
1207,-19.968618325,-34.516464332,0
1208,-17.627171674,-36.70190072,14
1209,-17.948140965,-37.049855894,8
1210,-18.387384792,-37.181362301,26
1211,-18.845490893,-37.05070401,43
1212,-19.164806195,-36.70289041,0
1213,-19.281727672,-36.230142994,0
1214,-19.165933553,-35.75704455,24
1215,-18.846407239,-35.407682349,26
1216,-18.387318077,-35.276444794,26
1217,-17.948088617,-35.407983327,24
1218,-17.627107519,-35.756025493,40
1219,-19.968698575,-39.211527764,22
1220,-20.246860707,-39.552714412,26
1221,-20.638478978,-39.714451523,8
1222,-21.053367954,-39.659416323,22
1223,-21.396167135,-39.400478545,0
1224,-21.589351243,-38.997054099,40
1225,-21.589517775,-38.54149807,38
1226,-21.396534451,-38.137839125,24
1227,-21.053725863,-37.878539223,8
1228,-20.638603824,-37.823259243,18
1229,-20.247066676,-37.98492102,22
1230,-19.968677903,-38.326341071,0
1231,-17.624697182,-40.507242305,14
1232,-17.948491337,-40.86007676,26
1233,-18.382906483,-40.991290466,46
1234,-18.837377476,-40.865771456,43
1235,-19.164563611,-40.513346817,27
1236,-19.281703861,-40.046014,27
1237,-19.171034785,-39.57683974,24
1238,-18.845486902,-39.217099669,26
1239,-18.391209257,-39.086401791,26
1240,-17.95575109,-39.213204694,43
1241,-17.630442066,-39.559840517,0
1242,-19.968441319,-43.020995264,24
1243,-20.245918995,-43.362006394,21
1244,-20.636824589,-43.524230784,30
1245,-21.051300642,-43.470270579,22
1246,-21.397732315,-43.208537152,9
1247,-21.589786316,-42.805111444,18
1248,-21.589208645,-42.350123902,38
1249,-21.396071687,-41.947266559,24
1250,-21.053602986,-41.688488195,26
1251,-20.639024028,-41.633203953,18
1252,-20.247874521,-41.794315299,22
1253,-19.968426065,-42.136862397,27
1254,-17.625549524,-44.318853789,14
1255,-17.966196908,-44.680941483,19
1256,-18.40509689,-44.801408302,46
1257,-18.869596738,-44.65489976,43
1258,-19.176608555,-44.299943882,9
1259,-19.281500976,-43.827263342,18
1260,-19.156837591,-43.360219767,26
1261,-18.834486866,-43.020259167,21
1262,-18.37797741,-42.896622893,26
1263,-17.942743738,-43.031381873,43
1264,-17.625617789,-43.378823663,27
1265,-19.968617701,-46.831360448,49
1266,-20.246545634,-47.172477747,45
1267,-20.637990413,-47.334386699,30
1268,-21.052776716,-47.279661305,24
1269,-21.397113425,-47.019306078,6
1270,-21.589662834,-46.615664601,18
1271,-21.589232365,-46.160229033,11
1272,-21.395901854,-45.757056661,26
1273,-21.053013764,-45.498243823,19
1274,-20.63799113,-45.443340263,18
1275,-20.246679067,-45.605212163,22
1276,-19.968609086,-45.946483449,9
1277,-17.626645241,-48.130914757,14
1278,-17.946544649,-48.478846689,21
1279,-18.384668981,-48.611321637,19
1280,-18.854175967,-48.475140655,43
1281,-19.168945059,-48.125011844,49
1282,-19.281706078,-47.652120685,49
1283,-19.162704227,-47.180980316,44
1284,-18.8425458,-46.835248399,35
1285,-18.384617312,-46.706485426,25
1286,-17.946546467,-46.838958361,8
1287,-17.626707969,-47.186773819,9
1288,-19.967790416,-50.63964429,44
1289,-20.243654724,-50.98029592,1
1290,-20.632767355,-51.143674664,30
1291,-21.046224877,-51.092340239,26
1292,-21.402888919,-50.822064665,10
1293,-21.59131185,-50.418155596,18
1294,-21.58791423,-49.964462683,11
1295,-21.393402889,-49.563982526,44
1296,-21.046454917,-49.305559545,21
1297,-20.632754348,-49.254052315,9
1298,-20.243920172,-49.417294095,24
1299,-19.96780269,-49.75815621,6
1300,-17.626602237,-51.940834094,41
1301,-17.946222872,-52.288642677,21
1302,-18.392848921,-52.421417038,44
1303,-18.8548133,-52.28472667,43
1304,-19.169207595,-51.934506146,6
1305,-19.281703326,-51.461715159,6
1306,-19.162614095,-50.990812529,45
1307,-18.842551721,-50.645252109,17
1308,-18.383986873,-50.516496183,30
1309,-17.946211648,-50.649170645,8
1310,-17.626600204,-50.996975922,6
1311,-19.984297513,-54.482393942,45
1312,-20.301556528,-54.830613415,33
1313,-20.735319693,-54.961353872,41
1314,-21.170204184,-54.839778347,10
1315,-21.508104281,-54.465925447,10
1316,-21.61446984,-53.990329039,38
1317,-21.491196799,-53.519534881,26
1318,-21.170403193,-53.178155715,35
1319,-20.735456868,-53.056410689,6
1320,-20.301766682,-53.187019212,43
1321,-19.984286668,-53.53545302,10
1322,-17.627193763,-55.751942031,41
1323,-17.948220988,-56.099906359,45
1324,-18.387527734,-56.231364193,21
1325,-18.84601874,-56.100370015,43
1326,-19.165180989,-55.752184109,10
1327,-19.281728348,-55.279285011,10
1328,-19.165527733,-54.806276786,1
1329,-18.846566116,-54.4577831,17
1330,-18.387474105,-54.326442717,46
1331,-17.948198588,-54.457913969,26
1332,-17.627129274,-54.805984793,10
1333,-19.983241518,-58.290387233,45
1334,-20.297830481,-58.638223978,2
1335,-20.767036855,-58.771061354,30
1336,-21.211828264,-58.62257345,13
1337,-21.513789721,-58.264340026,10
1338,-21.614221381,-57.789508662,40
1339,-21.48719428,-57.322282568,26
1340,-21.165438339,-56.985133355,17
1341,-20.731912974,-56.866454053,21
1342,-20.298107349,-56.999365877,8
1343,-19.983231708,-57.347457886,45
1344,-17.627171718,-59.561900803,41
1345,-17.948141119,-59.909855991,45
1346,-18.387385058,-60.041362304,35
1347,-18.845491197,-59.910703818,43
1348,-19.164806414,-59.562889997,10
1349,-19.281727673,-59.090142423,20
1350,-19.165933035,-58.617043568,45
1351,-18.846406257,-58.267681726,17
1352,-18.387316846,-58.13644481,30
1353,-17.948087479,-58.267984045,6
1354,-17.627106818,-58.616026804,10
1355,-19.968698439,-62.071527483,35
1356,-20.24685999,-62.412713874,2
1357,-20.638477541,-62.574451333,34
1358,-21.053371136,-62.519415003,1
1359,-21.396169007,-62.26047623,36
1360,-21.58935178,-61.857051708,13
1361,-21.589516953,-61.401494403,4
1362,-21.396532546,-60.997836765,21
1363,-21.053723707,-60.738538328,17
1364,-20.6386021,-60.68325947,19
1365,-20.24706572,-60.844921738,5
1366,-19.968677633,-61.186341629,36
1367,-17.624130234,-63.366166348,41
1368,-17.946503836,-63.718820824,35
1369,-18.379452965,-63.851218475,21
1370,-18.845306442,-63.720820597,30
1371,-19.168528037,-63.365813632,48
1372,-19.281728369,-62.89858275,23
1373,-19.16823657,-62.431433256,45
1374,-18.840620375,-62.074045305,2
1375,-18.386717605,-61.946453064,25
1376,-17.952854645,-62.074998177,6
1377,-17.629862116,-62.420908569,10
1378,-19.968441319,-65.880995265,5
1379,-20.245918995,-66.222006394,2
1380,-20.636824589,-66.384230784,42
1381,-21.051300642,-66.330270579,18
1382,-21.397732315,-66.068537152,39
1383,-21.589786316,-65.665111445,39
1384,-21.589208646,-65.210123903,8
1385,-21.396071688,-64.807266559,45
1386,-21.053602987,-64.548488195,17
1387,-20.639024029,-64.493203953,44
